Country,GDP,Inflation Rate,Unemployment Rate,Interest Rate,Exchange Rate,Stock Market Index,Labor Force Participation Rate,Government Debt,Trade Balance
Ukraine,Hryvnia,-2.48,29.8,3.18,7.4696,1282.45,84.38,Quetzal,Baht
Ukraine,Hryvnia,8.82,7.94,14.24,7.9797,7877.61,70.96,Euro,Yuan Renminbi
Sweden,Krona,-3.59,1.92,10.28,5.7092,7256.35,24.97,Yuan Renminbi,Krone
China,Yuan Renminbi,-0.11,6.04,4.32,3.5694,2850.71,91.21,Euro,Euro
Belarus,Ruble,4.88,29.46,1.29,7.334,8553.25,57.47,Shilling,Franc
Peru,Sol,-7.38,17.11,19.67,3.1799,3135.83,3.06,Ruble,Dollar
Thailand,Baht,9.39,14.6,17.71,7.6805,9643.02,38.89,Ruble,Euro
Morocco,Dirham,9.56,6.5,19.79,0.1687,4743.45,16.74,Peso,Rupiah
Ukraine,Hryvnia,-5.28,14.07,9.79,0.3766,9786.02,61.39,Dong,Euro
China,Yuan Renminbi,1.77,9.17,3.85,8.2642,3035.0,87.55,Dollar,Yuan Renminbi
Brazil,Real,-8.88,26.59,7.38,8.5766,4156.13,2.26,Yuan Renminbi,Yuan Renminbi
Kenya,Shilling,4.24,16.57,12.4,7.7637,9679.86,79.64,Euro,Euro
Cyprus,Euro,7.21,25.98,12.49,1.4531,1320.19,85.52,Peso,Rupiah
Canada,Dollar,3.35,7.52,5.6,7.9985,1685.25,22.89,Ruble,Rupiah
Panama,Balboa,-6.38,13.71,6.46,4.2421,6355.84,17.98,Peso,Franc
China,Yuan Renminbi,-2.83,16.52,8.11,2.5744,6504.22,95.65,Rupee,Zloty
China,Yuan Renminbi,-9.54,26.88,2.43,5.8948,9010.89,13.72,Dollar,Yuan Renminbi
Poland,Zloty,2.08,3.56,17.78,0.9107,9879.81,3.95,Yuan Renminbi,Hryvnia
Gabon,Franc,-0.17,19.56,16.06,0.3217,9677.85,23.53,Rupiah,Hryvnia
China,Yuan Renminbi,-7.6,26.25,4.86,8.9075,2967.19,9.44,Yuan Renminbi,Dollar
Peru,Sol,4.85,3.4,2.25,4.8941,4376.41,81.57,Ruble,Tenge
Nigeria,Naira,4.28,23.42,1.78,8.8294,1812.52,4.32,Krona,Dirham
France,Euro,-0.2,9.01,3.44,3.0275,1434.68,37.11,Rupiah,Ruble
Philippines,Peso,9.9,26.54,13.02,3.4155,8555.38,37.4,Peso,Yuan Renminbi
Sudan,Pound,5.24,8.21,9.61,1.828,7382.55,42.66,Yuan Renminbi,Rupiah
Philippines,Peso,-1.42,16.22,15.39,8.1692,1332.75,47.55,Bolivar,Euro
Portugal,Euro,3.58,24.7,17.03,2.6059,3592.33,21.75,Dollar,Zloty
Argentina,Peso,-4.23,2.78,5.99,3.5388,4446.49,79.3,Rupiah,Yuan Renminbi
China,Yuan Renminbi,8.98,1.99,18.16,4.2902,7739.41,26.72,Yuan Renminbi,Yuan Renminbi
Mongolia,Tugrik,-4.67,4.32,7.77,6.6753,5132.62,47.21,Rupiah,Yuan Renminbi
China,Yuan Renminbi,-8.2,16.36,0.18,5.6363,9510.54,78.41,Yuan Renminbi,Yuan Renminbi
Bulgaria,Lev,-5.38,3.34,1.61,9.1161,4951.65,46.97,Yuan Renminbi,Krona
Germany,Euro,-7.95,18.17,4.69,5.9974,8072.44,60.87,Euro,Rupiah
Philippines,Peso,-3.06,3.46,17.61,2.0849,1963.12,69.76,Peso,Rupiah
Poland,Zloty,6.46,3.48,17.26,5.5872,4352.45,7.37,Euro,Real
France,Euro,2.37,25.88,3.18,1.2444,8602.07,96.55,Gourde,Yen
Gambia,Dalasi,8.32,25.13,12.96,6.4486,5491.84,21.45,Zloty,Dinar
Portugal,Euro,9.92,10.51,7.38,9.339,5016.47,93.62,Naira,Yuan Renminbi
Poland,Zloty,-5.27,16.91,8.28,7.3184,9637.11,15.59,Yuan Renminbi,Rupiah
Bangladesh,Taka,4.25,23.01,3.3,4.1972,4708.01,25.19,Rupiah,Krona
Russia,Ruble,0.16,24.21,16.58,5.7647,7773.2,88.65,Yuan Renminbi,Yuan Renminbi
Portugal,Euro,-9.77,10.05,17.68,0.1876,8742.43,0.71,Krona,Rupiah
Indonesia,Rupiah,8.75,1.91,1.66,0.9244,2962.54,9.51,Rand,Rupiah
Brazil,Real,4.74,24.67,14.08,6.7816,6514.97,74.65,Yuan Renminbi,Dinar
Indonesia,Rupiah,8.39,9.34,6.68,4.2391,8770.39,2.45,Zloty,Marka
Thailand,Baht,-6.88,14.58,18.93,6.5242,5320.07,0.29,Shilling,Yuan Renminbi
Czech Republic,Koruna,6.62,12.05,11.88,4.051,8803.46,71.02,Yuan Renminbi,Taka
Russia,Ruble,-7.43,9.35,14.86,8.4764,3934.77,5.51,Baht,Yuan Renminbi
Philippines,Peso,-6.44,13.55,4.47,3.4159,5698.5,38.34,Cordoba,Dollar
Indonesia,Rupiah,-8.93,15.5,12.96,8.3131,3156.79,44.57,Peso,Euro
Thailand,Baht,-6.86,23.71,3.29,7.4699,4703.98,48.84,Tala,Rupiah
Colombia,Peso,-3.92,3.81,16.82,1.9008,132.0,85.17,Dram,Rupiah
China,Yuan Renminbi,6.39,25.96,9.98,6.4192,775.79,71.42,Euro,Manat
Russia,Ruble,6.73,5.65,19.94,7.871,3003.12,92.17,Peso,Baht
Mexico,Peso,4.11,21.61,3.61,5.027,1908.18,22.71,Koruna,Yuan Renminbi
Indonesia,Rupiah,2.74,14.86,14.26,2.56,3740.29,53.19,Rand,Shekel
Brazil,Real,1.24,13.88,8.6,6.1994,8111.92,5.94,Euro,Ringgit
China,Yuan Renminbi,8.35,10.47,8.48,6.9591,4233.71,62.09,Rupiah,Rupiah
Slovenia,Euro,9.55,13.11,4.41,0.7011,2094.67,71.17,Ruble,Yuan Renminbi
Indonesia,Rupiah,-8.84,8.65,15.93,2.6546,357.63,4.13,Peso,Shekel
China,Yuan Renminbi,-0.3,29.05,19.5,7.7261,3624.66,78.28,Ruble,Yuan Renminbi
Bolivia,Boliviano,9.65,23.65,18.74,2.4403,7753.0,53.31,Quetzal,Yuan Renminbi
Argentina,Peso,-3.96,23.15,4.84,4.9432,2467.81,90.12,Afghani,Euro
Dominican Republic,Peso,6.26,14.12,6.9,0.7802,297.56,54.81,Sol,Rupee
Poland,Zloty,-3.37,9.83,2.69,6.5364,7335.89,22.56,Yuan Renminbi,Ruble
Armenia,Dram,-7.3,9.86,5.76,0.9855,3498.91,46.47,Dollar,Zloty
Nigeria,Naira,-2.29,19.0,5.88,3.0872,6991.06,83.04,Euro,Rial
Indonesia,Rupiah,-9.01,25.76,17.11,0.0984,4038.31,22.26,Rial,Yuan Renminbi
China,Yuan Renminbi,-0.82,27.57,4.09,1.9207,7164.48,61.27,Boliviano,Real
Brazil,Real,-9.31,25.63,9.03,4.242,9287.02,97.46,Hryvnia,Euro
United States,Dollar,8.63,0.08,3.92,5.1328,9167.79,51.51,Kwanza,Shilling
Vietnam,Dong,3.56,17.83,5.98,3.9208,5347.76,20.53,Rupiah,Krona
Togo,Franc,-1.61,5.58,0.08,4.9064,3730.74,84.43,Real,Ruble
Guatemala,Quetzal,-4.8,17.69,9.25,3.2709,8796.53,15.55,Balboa,Yuan Renminbi
China,Yuan Renminbi,-7.95,12.84,18.78,1.8115,6307.33,79.35,Dinar,Yuan Renminbi
Japan,Yen,0.77,27.86,9.06,5.0031,7247.64,7.68,Zloty,Peso
Samoa,Tala,7.06,10.37,18.13,2.4939,2371.5,80.68,Real,Yuan Renminbi
Brazil,Real,-1.02,1.77,6.3,5.6973,3268.97,16.02,Real,Yuan Renminbi
Ireland,Euro,-3.42,2.59,13.09,2.879,4736.46,99.37,Euro,Lev
Philippines,Peso,1.19,26.48,9.46,1.8425,7311.71,56.99,Peso,Rupiah
Indonesia,Rupiah,-8.36,27.38,12.45,5.2741,7939.92,88.64,Somoni,Dollar
Poland,Zloty,-7.77,18.15,11.08,0.0148,1813.12,70.74,Dinar,Kuna
China,Yuan Renminbi,-5.19,11.36,11.49,9.5594,5764.82,84.38,Dollar,Zloty
Colombia,Peso,-9.15,28.94,10.84,3.5101,430.97,58.09,Pound,Rupiah
Ukraine,Hryvnia,8.06,0.75,17.79,1.7485,4076.52,71.09,Quetzal,Krona
Indonesia,Rupiah,-5.77,8.39,15.64,5.975,5720.02,76.43,Krona,Rupiah
Mongolia,Tugrik,0.04,20.07,18.4,7.9728,4286.22,80.38,Rupiah,Euro
China,Yuan Renminbi,6.22,6.41,18.65,9.3551,4518.69,63.94,Yuan Renminbi,Rupee
Estonia,Euro,5.83,12.81,2.52,9.5576,5521.54,92.35,Yuan Renminbi,Kwacha
Philippines,Peso,-1.27,22.37,16.08,3.1805,7826.81,76.64,Dollar,Rial
Peru,Sol,-9.92,1.43,9.47,1.7637,8527.78,14.44,Real,Yuan Renminbi
United States,Dollar,6.43,18.27,12.23,6.4768,7637.81,48.3,Euro,Koruna
Greece,Euro,-1.02,4.84,11.95,0.1292,1087.05,90.5,Euro,Peso
Poland,Zloty,-2.18,18.03,0.22,3.6017,8910.62,13.34,Dollar,Ruble
Philippines,Peso,6.81,24.49,8.46,3.3367,9194.39,31.72,Euro,Rupiah
China,Yuan Renminbi,-5.26,20.72,17.74,4.5706,5868.22,57.23,Kwacha,Real
Russia,Ruble,-3.99,1.82,12.39,6.3676,3003.11,16.91,Dollar,Zloty
United States,Dollar,6.35,10.66,2.98,5.13,8064.45,74.48,Baht,Sol
Indonesia,Rupiah,-0.07,18.83,3.28,3.6369,4048.53,98.37,Ruble,Rupee
Dominica,Dollar,-2.71,1.59,11.97,2.3372,7273.78,29.14,Lev,Yuan Renminbi
France,Euro,0.16,2.67,14.29,4.3623,3481.33,33.89,Zloty,Euro
Indonesia,Rupiah,-3.23,15.93,6.59,0.8068,8024.58,15.71,Peso,Ruble
Albania,Lek,-4.44,10.08,6.27,7.5638,481.33,13.39,Sol,Koruna
Poland,Zloty,1.27,1.6,11.71,3.1428,9656.7,92.23,Rupee,Yuan Renminbi
Pakistan,Rupee,8.21,18.66,12.96,7.6414,5737.29,6.86,Hryvnia,Rupiah
Russia,Ruble,3.84,2.8,18.85,3.4931,6543.52,63.18,Yuan Renminbi,Lempira
Canada,Dollar,8.77,25.42,2.43,2.3499,9735.99,75.72,Rupiah,Zloty
Finland,Euro,-2.82,7.89,11.59,3.0032,9196.0,21.92,Peso,Denar
Indonesia,Rupiah,-2.51,25.78,8.61,9.7565,878.16,2.65,Zloty,Baht
China,Yuan Renminbi,3.11,18.5,15.92,0.1839,5841.28,83.91,Rand,Yuan Renminbi
Czech Republic,Koruna,0.14,4.68,6.59,7.0828,5469.15,17.87,Peso,Rupiah
Czech Republic,Koruna,6.31,23.98,6.24,1.705,2980.91,67.75,Zloty,Hryvnia
Thailand,Baht,7.35,24.94,12.41,1.443,3662.36,88.62,Real,Krone
Austria,Euro,-5.89,2.48,3.43,7.5811,6254.56,26.28,Real,Zloty
El Salvador,Dollar,6.18,5.96,10.65,5.7293,9224.67,4.14,Peso,Yuan Renminbi
Russia,Ruble,-0.54,0.87,14.28,4.0538,2889.04,34.51,Rupiah,Ruble
China,Yuan Renminbi,-4.09,21.81,14.05,8.7905,5026.12,9.41,Peso,Euro
American Samoa,Dollar,6.55,20.39,9.56,6.3461,1497.45,96.24,Rupiah,Gourde
Thailand,Baht,9.34,4.96,2.12,9.8438,1733.95,62.37,Zloty,Yuan Renminbi
Zambia,Kwacha,1.0,25.72,12.48,2.8982,8305.53,38.09,Peso,Baht
Russia,Ruble,5.76,12.55,11.78,6.2969,1953.42,52.73,Ruble,Yuan Renminbi
Pakistan,Rupee,-3.01,19.14,12.42,9.1508,6927.42,71.79,Zloty,Peso
Venezuela,Bolivar,-6.17,20.67,15.95,7.0846,8284.63,32.9,Peso,Ruble
France,Euro,7.53,7.26,7.09,6.9033,8368.98,44.22,Krona,Dollar
Bulgaria,Lev,-6.03,11.7,9.3,7.7117,6393.92,54.15,Afghani,Ruble
Togo,Franc,8.83,18.14,5.1,8.9344,7271.29,99.54,Litas,Cedi
Russia,Ruble,5.79,17.18,0.48,9.6869,8318.91,49.53,Bolivar,Euro
Tajikistan,Somoni,-3.96,10.17,13.25,3.0031,8756.0,96.06,Yuan Renminbi,Dollar
Ukraine,Hryvnia,-5.95,18.59,18.32,0.8941,7198.88,98.5,Dollar,Zloty
Canada,Dollar,-3.65,24.88,5.43,1.2034,9900.67,16.55,Peso,Rupiah
Sweden,Krona,-0.41,4.92,0.6,7.2495,2821.87,70.66,Yuan Renminbi,Peso
China,Yuan Renminbi,6.78,8.64,19.52,0.9731,956.73,15.72,Dollar,Yuan Renminbi
Poland,Zloty,6.28,6.32,7.04,2.6099,6127.82,75.05,Rial,Ruble
Armenia,Dram,-7.0,27.4,19.38,3.1873,2267.48,83.32,Ruble,Yen
Zambia,Kwacha,-8.47,11.32,12.81,4.5571,3401.14,23.63,Euro,Rupiah
Senegal,Franc,-9.15,5.97,1.26,7.9298,4412.81,68.34,Yuan Renminbi,Euro
Greece,Euro,8.4,22.78,19.54,9.7044,8153.16,96.37,Franc,Dinar
Vietnam,Dong,9.22,1.63,9.76,7.492,4890.32,51.07,Peso,Zloty
Indonesia,Rupiah,-3.9,4.75,5.43,3.6895,9829.74,89.36,Euro,Euro
Brazil,Real,-2.72,29.93,10.4,1.8005,8652.99,56.53,Yuan Renminbi,Euro
Ukraine,Hryvnia,6.73,6.8,15.67,6.4048,9429.48,18.55,Yuan Renminbi,Lev
Philippines,Peso,-9.17,25.17,19.05,5.3456,3471.06,83.57,Peso,Rand
Peru,Sol,9.44,10.96,14.88,9.8071,3619.91,31.24,Won,Yuan Renminbi
Czech Republic,Koruna,-7.94,0.45,3.67,6.4947,5352.73,78.64,Yuan Renminbi,Rupee
Indonesia,Rupiah,5.78,1.11,15.25,0.5174,403.24,72.77,Yuan Renminbi,Yuan Renminbi
Egypt,Pound,-3.45,2.01,0.27,5.5153,1803.34,27.64,Dinar,Real
Mexico,Peso,-2.02,24.16,12.19,8.6918,1989.6,18.11,Ruble,Rupiah
China,Yuan Renminbi,-3.9,4.19,4.11,9.4474,4420.42,70.57,Sol,Rupiah
Indonesia,Rupiah,-6.61,12.19,12.79,9.5443,414.68,70.47,Rupiah,Yuan Renminbi
China,Yuan Renminbi,-8.8,29.31,15.64,6.4309,4647.39,4.25,Yuan Renminbi,Baht
France,Euro,8.57,0.06,6.36,4.4585,2950.62,49.12,Yuan Renminbi,Yen
Malawi,Kwacha,0.33,4.15,6.76,2.3676,6960.95,23.12,Rupiah,Ruble
Belarus,Ruble,-8.42,26.1,13.35,3.4222,6181.93,6.34,Won,Rupiah
Indonesia,Rupiah,-2.97,20.29,1.76,2.5039,3.63,39.16,Ruble,Yuan Renminbi
Iran,Rial,7.0,7.07,13.99,3.8148,9482.03,68.99,Dollar,Koruna
Tunisia,Dinar,5.98,10.96,16.53,2.0501,8323.1,69.04,Yuan Renminbi,Rial
Czech Republic,Koruna,0.69,0.84,5.3,8.6004,9582.71,48.19,Yuan Renminbi,Yuan Renminbi
Indonesia,Rupiah,-9.22,10.4,10.56,8.5928,3840.75,99.35,Yuan Renminbi,Real
China,Yuan Renminbi,-5.34,11.27,3.94,6.7249,2323.29,35.54,Koruna,Yuan Renminbi
Chad,Franc,0.18,23.27,4.2,2.9378,6192.06,97.97,Peso,Rial
Portugal,Euro,5.14,7.77,4.48,8.7474,4209.6,18.34,Sol,Pound
Philippines,Peso,2.08,16.61,15.07,5.8287,8652.35,5.62,Franc,Yuan Renminbi
Poland,Zloty,-6.29,16.93,7.27,1.8493,2532.83,27.85,Tugrik,Euro
Russia,Ruble,3.61,9.62,17.98,5.3344,1693.22,99.8,Zloty,Yuan Renminbi
Canada,Dollar,-1.31,20.53,6.69,4.3164,5659.81,42.98,Dinar,Peso
China,Yuan Renminbi,5.79,21.83,11.8,5.7666,1079.48,32.12,Peso,Zloty
Pakistan,Rupee,-3.68,26.55,3.6,0.954,1650.89,33.92,Rupiah,Yuan Renminbi
Argentina,Peso,-0.18,28.77,6.14,6.0943,2221.97,77.74,Koruna,Litas
Serbia,Dinar,1.86,2.85,1.99,9.3867,6325.41,73.51,Shekel,Pound
Sweden,Krona,4.5,15.83,12.72,6.1792,2107.16,24.67,Quetzal,Hryvnia
Philippines,Peso,-6.44,4.76,1.54,6.3087,2457.7,17.24,Yuan Renminbi,Yuan Renminbi
China,Yuan Renminbi,7.9,7.62,7.69,4.5412,8556.06,78.11,Peso,Naira
Bulgaria,Lev,3.35,14.66,8.18,0.4151,5773.94,49.23,Rupiah,Euro
Greece,Euro,8.91,14.56,4.81,2.8043,2149.83,96.54,Koruna,Dollar
China,Yuan Renminbi,-6.83,18.54,8.81,6.6354,9615.7,10.91,Yuan Renminbi,Peso
Palestinian Territory,Shekel,-1.23,20.24,11.04,8.9968,9764.07,9.78,Krona,Koruna
Pakistan,Rupee,-7.56,25.26,6.44,4.4736,3664.36,80.21,Rupiah,Rupiah
Brazil,Real,-7.82,0.53,6.82,6.3212,7792.04,53.95,Euro,Balboa
Mozambique,Metical,-8.47,25.23,18.9,5.9262,9890.62,36.23,Koruna,Yen
Sri Lanka,Rupee,0.15,7.21,17.06,1.6449,3874.99,13.38,Rupiah,Baht
China,Yuan Renminbi,4.4,1.98,8.23,8.6788,2971.21,47.87,Franc,Dirham
Sweden,Krona,5.66,2.86,3.13,1.4222,4332.42,52.57,Dollar,Balboa
Syria,Pound,-8.14,19.33,6.98,5.8919,9060.29,38.81,Ruble,Koruna
Cuba,Peso,0.17,18.02,13.49,8.1086,4597.8,76.7,Peso,Yuan Renminbi
United Kingdom,Pound,-2.92,20.74,1.07,1.6565,7715.94,67.09,Koruna,Rial
Indonesia,Rupiah,-0.53,9.19,1.08,1.4615,6905.87,41.21,Rand,Zloty
Sweden,Krona,-0.46,3.92,18.46,2.1719,4325.68,53.18,Peso,Peso
Indonesia,Rupiah,-5.0,20.99,13.12,0.1886,2841.74,27.4,Dram,Real
China,Yuan Renminbi,-4.2,8.09,18.36,3.2642,2567.61,8.04,Franc,Kwacha
China,Yuan Renminbi,5.56,18.43,0.03,4.0852,545.47,22.2,Dollar,Gourde
Sweden,Krona,8.11,9.2,11.62,6.1531,4209.31,46.94,Euro,Sol
Argentina,Peso,5.81,11.81,4.64,9.7434,5853.51,93.16,Dollar,Rupiah
Kenya,Shilling,1.22,4.96,19.34,1.7849,9329.32,36.97,Koruna,Franc
Russia,Ruble,3.75,12.55,12.22,0.6929,1206.59,83.95,Rupiah,Real
Russia,Ruble,1.44,2.9,12.06,1.701,9511.45,77.1,Koruna,Rand
China,Yuan Renminbi,6.61,10.52,12.31,9.5515,8746.55,83.66,Zloty,Krona
France,Euro,-9.22,20.13,13.79,3.4739,8042.94,35.51,Balboa,Dirham
Philippines,Peso,9.04,4.18,16.4,6.9924,9632.95,3.25,Rupee,Peso
China,Yuan Renminbi,0.17,23.81,13.99,1.556,6387.9,60.6,Yuan Renminbi,Yuan Renminbi
China,Yuan Renminbi,-7.67,5.21,9.91,3.5265,1359.49,65.57,Dollar,Rupiah
Sweden,Krona,-2.08,7.99,13.8,7.2808,4827.85,12.96,Peso,Hryvnia
Togo,Franc,9.7,11.77,14.89,6.0132,5218.32,16.45,Rupiah,Euro
China,Yuan Renminbi,-6.1,17.38,6.35,6.8005,1358.2,39.93,Yuan Renminbi,Yuan Renminbi
Argentina,Peso,9.66,11.68,18.36,6.239,9520.0,67.12,Peso,Yuan Renminbi
Malaysia,Ringgit,5.8,7.91,15.09,1.7783,1672.57,72.29,Yuan Renminbi,Manat
China,Yuan Renminbi,-5.3,5.85,5.7,8.9939,1882.76,88.5,Euro,Dollar
Russia,Ruble,9.18,19.24,10.49,7.652,675.42,47.9,Pound,Rupiah
Kazakhstan,Tenge,-6.32,13.77,19.79,2.4435,8723.47,97.2,Yuan Renminbi,Yuan Renminbi
Norway,Krone,-9.23,17.37,15.1,2.7327,5241.15,59.16,Rupiah,Real
Egypt,Pound,-8.7,4.56,0.31,9.4009,9855.0,89.08,Lev,Peso
Colombia,Peso,5.97,26.53,12.5,3.3212,7915.0,37.92,Peso,Dollar
Iran,Rial,-5.34,22.29,14.09,6.7738,2590.66,15.11,Dram,Ariary
China,Yuan Renminbi,1.65,19.06,13.71,8.0416,7759.69,98.88,Rand,Afghani
Canada,Dollar,-3.63,27.63,9.7,1.4944,4394.04,42.6,Lempira,Peso
Japan,Yen,-1.04,17.21,12.53,1.6687,335.16,62.09,Baht,Franc
Colombia,Peso,5.55,10.75,0.06,2.1772,8508.44,17.54,Sol,Rupiah
Syria,Pound,-4.82,13.14,7.54,1.5774,851.92,74.71,Yuan Renminbi,Rupee
Ukraine,Hryvnia,-8.59,20.05,2.72,8.2736,5218.41,73.68,Dollar,Zloty
China,Yuan Renminbi,2.6,23.73,7.56,6.7052,4604.53,2.13,Lari,Zloty
Morocco,Dirham,-7.81,0.08,7.26,3.4531,8300.29,96.54,Euro,Ruble
Indonesia,Rupiah,-8.14,9.92,2.41,0.6374,5785.01,51.45,Sol,Rupiah
Thailand,Baht,4.33,8.57,10.69,9.2304,5715.51,56.85,Ruble,Shekel
Poland,Zloty,-5.99,20.64,11.19,7.9896,7274.6,93.97,Krona,Peso
China,Yuan Renminbi,8.73,9.04,11.44,8.0372,3962.78,93.28,Zloty,Ruble
Brazil,Real,-7.14,5.67,11.11,7.2929,7109.81,40.74,Yuan Renminbi,Yuan Renminbi
Indonesia,Rupiah,1.66,11.18,16.14,2.1634,1282.52,92.16,Zloty,Yuan Renminbi
Czech Republic,Koruna,-3.49,14.29,0.13,4.1651,2068.73,15.59,Hryvnia,Hryvnia
China,Yuan Renminbi,4.47,14.18,12.17,8.8419,7321.36,86.03,Tugrik,Real
Portugal,Euro,-3.38,20.66,5.42,3.4116,8949.52,16.62,Yuan Renminbi,Euro
Philippines,Peso,6.56,25.14,12.37,8.2832,7708.86,46.95,Colon,Rupiah
Somalia,Shilling,3.02,2.25,17.13,6.2323,4436.31,3.22,Rupiah,Yuan Renminbi
Indonesia,Rupiah,-7.47,5.14,16.33,1.7596,9334.78,83.16,Dinar,Real
China,Yuan Renminbi,-5.2,2.95,11.49,3.356,9429.51,43.65,Euro,Krona
Bosnia and Herzegovina,Marka,3.06,21.78,14.42,0.4953,2822.02,0.11,Peso,Dong
China,Yuan Renminbi,-2.6,7.79,16.97,6.5167,7333.88,53.65,Yuan Renminbi,Yuan Renminbi
Indonesia,Rupiah,-5.61,28.02,6.39,8.083,3414.48,88.52,Metical,Sol
China,Yuan Renminbi,-2.06,9.06,18.67,2.4779,9424.05,62.6,Yuan Renminbi,Yuan Renminbi
Philippines,Peso,-8.46,2.56,1.11,9.1169,7954.15,50.6,Krona,Afghani
Poland,Zloty,2.83,11.6,3.56,4.5834,7929.48,10.04,Euro,Euro
Uruguay,Peso,0.47,29.58,2.68,1.8386,1211.71,95.25,Ruble,Yuan Renminbi
Trinidad and Tobago,Dollar,3.57,15.55,13.15,8.1545,5716.85,50.55,Zloty,Krona
Philippines,Peso,-9.81,17.46,0.9,3.182,4476.3,24.88,Peso,Real
Portugal,Euro,7.01,1.01,18.17,7.8592,6696.36,4.24,Peso,Franc
China,Yuan Renminbi,-4.47,5.25,18.85,3.2419,8074.46,3.21,Baht,Ruble
Philippines,Peso,8.34,24.6,4.24,6.668,1204.19,11.52,Yuan Renminbi,Koruna
Sweden,Krona,-2.94,4.92,17.14,7.3678,7831.61,17.39,Yuan Renminbi,Rupiah
Mozambique,Metical,-4.97,18.31,7.57,0.1797,6926.75,69.55,Kyat,Dinar
Dominican Republic,Peso,6.98,7.7,8.82,7.74,7333.71,42.82,Yuan Renminbi,Rupiah
Bosnia and Herzegovina,Marka,4.96,13.87,2.75,2.1653,8278.29,49.9,Somoni,Euro
Russia,Ruble,0.81,4.53,17.83,0.6735,8060.99,82.85,Rupiah,Dram
Canada,Dollar,-2.5,22.36,8.23,1.8861,3335.79,86.39,Yuan Renminbi,Peso
Greece,Euro,-7.25,25.3,15.05,5.1346,3194.27,59.86,Rupiah,Yuan Renminbi
Thailand,Baht,7.16,5.06,4.41,8.4,6283.06,46.89,Tenge,Rupiah
Russia,Ruble,7.32,2.7,1.81,2.5057,9708.98,23.37,Krona,Ruble
Croatia,Kuna,9.39,0.82,9.66,2.7352,5924.37,38.03,Dram,Yuan Renminbi
Indonesia,Rupiah,-0.3,4.06,10.46,4.362,1518.39,72.36,Yuan Renminbi,Rupiah
Finland,Euro,-4.24,13.78,15.93,9.5542,6005.24,54.39,Ruble,Ruble
Czech Republic,Koruna,-3.86,4.58,17.53,7.761,1575.57,69.71,Real,Rupee
Indonesia,Rupiah,-0.16,11.34,1.24,2.0893,2979.55,16.58,Baht,Yuan Renminbi
Indonesia,Rupiah,-3.1,23.77,5.46,3.474,7758.99,37.63,Real,Yuan Renminbi
China,Yuan Renminbi,-5.59,20.19,10.97,5.0738,5813.69,16.45,Pound,Leu
Indonesia,Rupiah,-5.5,25.38,16.84,3.9697,3272.1,18.57,Yuan Renminbi,Peso
Ukraine,Hryvnia,2.29,20.45,6.81,7.812,5411.92,63.3,Yuan Renminbi,Yuan Renminbi
China,Yuan Renminbi,-0.3,1.63,2.54,3.2694,8269.06,36.65,Sol,Euro
Indonesia,Rupiah,-8.6,13.25,14.8,9.8152,2550.22,46.88,Ruble,Koruna
Canada,Dollar,8.76,28.07,16.38,9.4658,4069.44,0.85,Euro,Peso
Chad,Franc,8.29,22.21,0.97,8.9021,4146.26,17.85,Rupiah,Yuan Renminbi
China,Yuan Renminbi,1.68,12.61,15.41,4.8009,6628.3,13.78,Dinar,Ruble
Sweden,Krona,3.92,27.68,0.93,0.834,939.06,4.12,Yuan Renminbi,Ruble
Indonesia,Rupiah,7.44,12.73,11.76,2.2834,471.16,88.51,Yuan Renminbi,Real
China,Yuan Renminbi,-9.81,9.52,7.44,1.6644,5013.68,73.24,Ruble,Peso
Philippines,Peso,2.66,7.73,7.47,1.4829,3818.22,95.95,Krona,Birr
Micronesia,Dollar,-0.39,23.58,4.33,3.9966,7133.16,74.64,Yuan Renminbi,Ruble
Philippines,Peso,-9.13,8.99,1.39,8.7927,7794.15,97.02,Pound,Rial
South Africa,Rand,4.1,22.7,18.63,6.9251,5849.02,34.56,Yen,Euro
Philippines,Peso,-4.92,23.91,2.85,6.5289,2189.87,89.37,Tenge,Yuan Renminbi
Philippines,Peso,-3.0,18.19,4.62,1.9851,5058.14,24.6,Euro,Yuan Renminbi
Honduras,Lempira,-4.59,12.98,6.03,1.4007,7080.34,62.69,Yuan Renminbi,Dong
China,Yuan Renminbi,-0.05,22.17,19.04,3.6833,5364.06,39.8,Yuan Renminbi,Pound
Netherlands,Euro,7.75,12.84,17.84,0.6588,8648.57,66.82,Lempira,Peso
Morocco,Dirham,6.36,29.35,18.18,7.0746,5414.75,47.03,Dollar,Yuan Renminbi
Poland,Zloty,8.31,19.92,2.58,7.8771,4743.76,88.99,Ruble,Franc
Poland,Zloty,4.78,5.57,2.47,1.4206,3005.47,19.99,Dollar,Rupiah
France,Euro,8.25,7.99,15.78,4.0822,4315.01,16.33,Rupiah,Krona
Tunisia,Dinar,-1.46,24.94,11.16,0.9889,4415.29,9.61,Yuan Renminbi,Rupiah
Czech Republic,Koruna,5.97,8.71,15.6,6.9886,953.44,65.12,Ruble,Yuan Renminbi
China,Yuan Renminbi,-3.34,16.51,10.66,3.2675,1002.42,74.12,Ruble,Tenge
China,Yuan Renminbi,9.8,5.7,1.75,8.2562,3164.87,61.79,Yuan Renminbi,Dollar
China,Yuan Renminbi,1.34,18.55,10.49,6.9414,6748.72,78.19,Dinar,Euro
